state_id,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp,pop2000,Bj_p25_czkir26_f_cc2,Bj_p25_czkir26_m_cc2,cs_race_bla,cs_race_theil_2000,cs00_seg_inc_pov25,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,eitc_exposure,tax_st_diff_top20,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_elf_ind_man,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,crime_violent,cs_fam_wkidsinglemom,cs_race_bla_st,cs00_seg_inc_pov25_st,cs_fam_wkidsinglemom_st,e_rank_b_kir26_f_p25,e_rank_b_kir26_m_p25,q1_dif,q2_dif,q3_dif,q4_dif,q5_dif,all_q_dif
Alabama,0.711,0.668,0.741,0.749,0.771,0.83,0.796,0.86,0.809,0.873,0,0,0,0,0,0,0,0,0,0,0.723,0.662,0.762,0.731,0.773,0.795,0.817,0.82,0.8,0.818,0,0,0,0,0.001,0.001,0.003,0.003,0.006,0.005,0.667,0.69,0.713,0.773,0.767,0.841,0.795,0.864,0.809,0.876,0.001,0.001,0,0,0,0,0,0,0,0,4226142,-0.208,-0.375,0.253,0.278,0.073,0.291,33726.412,0.51,12.946,0,0,17.251,-11.763,-0.002,0.015,3526.967,-0.044,0.181,0.33,0.017,0.016,0.02,-0.901,0.002,0.249,1.32,-0.184,0.833,38.8,42.86,-0.043,0.008,0.059,0.064,0.064,0.03
Alaska,0.685,0.73,0.724,0.773,0.745,0.84,0.759,0.856,0.792,0.872,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.707,0.735,0.763,0.771,0.773,0.849,0.756,0.818,0.758,0.801,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.005,0.003,0.655,0.716,0.695,0.779,0.742,0.839,0.757,0.868,0.794,0.876,0.004,0.003,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,626932,0.013,-0.798,0.034,0.088,0.057,0.476,39350.136,0.339,7.925,0,0,19.495,-6.931,0.045,0.017,2816.871,-0.191,0.032,0.532,0.025,0.029,0.059,0,0.003,0.195,-0.866,-0.713,-0.656,44.778,51.53,0.045,0.049,0.095,0.097,0.08,0.073
Arizona,0.696,0.71,0.738,0.765,0.751,0.81,0.768,0.852,0.786,0.851,0,0,0,0,0,0,0,0,0,0,0.695,0.701,0.745,0.752,0.77,0.798,0.775,0.818,0.798,0.826,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.7,0.731,0.73,0.779,0.746,0.815,0.768,0.856,0.786,0.853,0,0,0,0,0,0,0,0,0,0,4876703,0.095,-0.185,0.03,0.229,0.092,0.278,38131.968,0.48,15.111,0,1.66,19.955,-10.241,0.025,0.012,2883.259,-0.085,0.103,0.464,0.042,0.026,0.125,-1.354,0.002,0.214,-0.903,0.468,-0.136,42.505,46.683,0.014,0.027,0.059,0.084,0.065,0.05
Arkansas,0.712,0.7,0.757,0.782,0.774,0.829,0.811,0.869,0.813,0.857,0,0,0,0,0,0,0.001,0,0.001,0.001,0.724,0.698,0.77,0.773,0.757,0.807,0.81,0.837,0.814,0.95,0.001,0.001,0.001,0.001,0.003,0.002,0.007,0.005,0.006,0.001,0.683,0.719,0.745,0.789,0.776,0.835,0.811,0.87,0.813,0.856,0.001,0.001,0.001,0.001,0,0,0.001,0,0.001,0.001,2846721,-0.187,0.74,0.146,0.173,0.039,0.379,31200.726,0.466,11.546,0,1,17.229,-4.105,0.009,0.017,3107.591,-0.041,0.196,0.399,0.016,0.015,0.026,-0.559,0.002,0.228,0.252,-1.338,0.249,38.538,44.656,-0.012,0.025,0.055,0.058,0.044,0.034
California,0.72,0.703,0.756,0.753,0.768,0.789,0.785,0.819,0.807,0.834,0,0,0,0,0,0,0,0,0,0,0.712,0.687,0.742,0.73,0.762,0.76,0.781,0.779,0.781,0.788,0,0,0,0,0,0,0,0,0.001,0.001,0.733,0.732,0.767,0.773,0.772,0.802,0.786,0.825,0.808,0.837,0,0,0,0,0,0,0,0,0,0,34177560,-0.021,-0.154,0.064,0.224,0.088,0.257,41085.27,0.527,18.11,0,6.3,23.942,-16.389,-0.019,0.009,3896.55,-0.008,0.13,0.331,0.02,0.025,0.261,-1.061,0.004,0.202,-0.564,0.331,-0.453,46.15,47.944,-0.017,-0.003,0.021,0.034,0.027,0.012
Colorado,0.705,0.712,0.736,0.776,0.754,0.809,0.776,0.848,0.794,0.84,0.001,0.001,0,0,0,0,0,0,0,0,0.714,0.714,0.737,0.772,0.773,0.785,0.764,0.833,0.772,0.837,0.001,0.001,0.001,0,0.001,0.001,0.002,0.001,0.003,0.001,0.683,0.709,0.738,0.781,0.747,0.815,0.777,0.849,0.794,0.841,0.001,0.001,0.001,0,0,0,0,0,0,0,4256953,-0.018,0.041,0.037,0.156,0.091,0.305,42064.254,0.43,15.208,1.429,0,19.365,-2.541,-0.013,0.016,4644.928,-0.029,0.092,0.526,0.028,0.026,0.087,0.201,0.002,0.188,-0.831,0.425,-0.855,42.384,48.232,0.007,0.04,0.055,0.072,0.046,0.044
Connecticut,0.768,0.698,0.821,0.771,0.845,0.796,0.866,0.851,0.884,0.879,0,0,0,0,0,0,0,0,0,0,0.765,0.691,0.832,0.765,0.851,0.776,0.871,0.822,0.865,0.844,0,0,0,0,0,0,0,0,0,0,0.779,0.729,0.802,0.78,0.841,0.807,0.866,0.855,0.885,0.88,0,0,0,0,0,0,0,0,0,0,3405565,0.05,-0.105,0.087,0.269,0.097,0.308,53281.223,0.49,21.68,0,0,14.888,-4.993,0,0.008,9746.702,-0.084,0.148,0.474,0.014,0.016,0.109,0.493,0.002,0.217,-0.337,0.616,-0.043,48.836,48.118,-0.07,-0.05,-0.049,-0.015,-0.005,-0.038
Delaware,0.723,0.649,0.789,0.736,0.811,0.816,0.853,0.86,0.868,0.88,0,0,0,0,0,0,0,0,0,0,0.738,0.637,0.808,0.731,0.825,0.779,0.851,0.879,0.867,0.875,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.658,0.71,0.76,0.75,0.803,0.833,0.853,0.858,0.868,0.88,0.001,0.001,0,0,0,0,0,0,0,0,1025485,-0.389,-0.395,0.184,0.179,0.056,0.297,41098.293,0.436,12.147,0,0.75,17.263,0.606,0.004,0.015,4731.809,0.019,0.132,0.556,0.027,0.019,0.05,-0.261,0.004,0.241,0.635,-0.744,0.596,43.873,43.441,-0.074,-0.053,0.005,0.007,0.012,-0.021
District of Columbia,0.763,0.666,0.802,0.746,0.82,0.805,0.838,0.854,0.86,0.878,0,0,0,0,0,0,0,0,0,0,0.761,0.645,0.798,0.729,0.824,0.772,0.845,0.809,0.848,0.83,0,0,0,0,0,0,0,0,0,0,0.772,0.746,0.811,0.779,0.816,0.837,0.836,0.866,0.861,0.88,0,0,0,0,0,0,0,0,0,0,4632415,0.163,0.117,0.267,0.271,0.115,0.16,53705.695,0.456,16.054,2.381,2.5,18.879,-6.882,-0.002,0.009,10316.567,-0.05,0.039,0.454,0.026,0.03,0.177,-0.748,0.001,0.215,1.457,1.239,-0.119,50.273,45.944,-0.097,-0.056,-0.015,0.016,0.018,-0.027
Florida,0.721,0.658,0.761,0.74,0.791,0.801,0.818,0.84,0.825,0.854,0,0,0,0,0,0,0,0,0,0,0.722,0.639,0.767,0.711,0.794,0.76,0.803,0.803,0.815,0.807,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.717,0.709,0.756,0.771,0.793,0.815,0.82,0.844,0.826,0.856,0,0,0,0,0,0,0,0,0,0,16036324,-0.084,-0.216,0.142,0.234,0.07,0.251,41382.798,0.549,15.997,0,0,19.432,-2.835,0.003,0.009,5330.101,0.043,0.073,0.375,0.039,0.028,0.167,-1.518,0.002,0.245,0.212,-0.275,0.722,43.456,42.978,-0.063,-0.021,0.01,0.022,0.029,-0.005
