par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
1,0.701873005,0.619218847,0.634008063,0.581318454,0.703665085,0.601712513,0.635264063,0.56646243,0.694450443,0.691996163,0.628805874,0.643077907,0.652843104,0.610952676,0.43887809,0.291377515,0.332736888,0.3317213,0.331520241,0.328640029,0.320086162,0.282093884,20034.86678,24414.30422
2,0.722179168,0.651329964,0.655949563,0.616340736,0.726417608,0.63445032,0.659640802,0.602561718,0.70660793,0.7110234,0.642388644,0.665069073,0.674905222,0.645715943,0.449288888,0.295981463,0.34564827,0.349095221,0.3425815,0.34885419,0.333740507,0.300275284,20437.47176,26142.30185
3,0.736014823,0.668702195,0.671579955,0.631374919,0.739409014,0.651728553,0.674605964,0.618083744,0.724646867,0.723966649,0.661445129,0.674649636,0.690962463,0.662262145,0.459616169,0.3024218,0.352987896,0.361580876,0.349440995,0.358979631,0.344359557,0.308928635,20642.04854,25736.81502
4,0.744417547,0.687325876,0.680913227,0.652771425,0.747730399,0.671440746,0.685144429,0.640212222,0.734007607,0.736626568,0.667617566,0.691749851,0.700634417,0.68505967,0.467593153,0.313595327,0.358757068,0.369839418,0.356086894,0.370133277,0.352395685,0.318353547,21004.72479,26099.3033
5,0.7567874,0.696941632,0.694530912,0.658317371,0.760913383,0.679759337,0.700140818,0.645504598,0.744630654,0.746272305,0.678001953,0.695103072,0.713042941,0.692268833,0.477521773,0.320263301,0.364045086,0.375642547,0.363433717,0.375367301,0.360338494,0.32433425,21515.28948,27079.10969
6,0.762119551,0.70614265,0.698309574,0.667931967,0.766816269,0.689057515,0.704179523,0.656117962,0.748915701,0.752249457,0.681807428,0.699813838,0.71811053,0.702954932,0.487416983,0.324547473,0.368670142,0.382419439,0.366766942,0.381498254,0.363489887,0.330046291,21455.30341,27499.22598
7,0.764112365,0.713109041,0.70182685,0.675177934,0.769851344,0.696724923,0.710388988,0.663298575,0.748713291,0.755036079,0.678852558,0.70557727,0.721924255,0.707998057,0.494803684,0.333671034,0.372312995,0.387554404,0.368637829,0.387516063,0.368485954,0.335798375,21802.47185,27410.56049
8,0.765373504,0.72122219,0.705716055,0.684064432,0.771159965,0.705611502,0.714150592,0.674182337,0.750497384,0.759052624,0.684032127,0.708012382,0.725670656,0.716112209,0.502012424,0.339070492,0.373866171,0.392756675,0.370945248,0.392561611,0.373447378,0.341127633,21956.07532,27385.37976
9,0.769208621,0.730434049,0.711644455,0.693148488,0.774827326,0.714650409,0.721022694,0.684406535,0.755541437,0.767719049,0.688832416,0.71379922,0.731470056,0.726804668,0.507012489,0.345920166,0.37794355,0.398314995,0.374406685,0.398142593,0.376852716,0.34508044,22184.41441,27952.86127
10,0.775101974,0.731696015,0.715380495,0.693887438,0.78260742,0.713674046,0.72752603,0.682730558,0.757389077,0.772499141,0.686716966,0.719147473,0.735074781,0.727988879,0.515087764,0.353786647,0.380677145,0.402538257,0.37690278,0.398223783,0.378513134,0.346681468,22231.87033,27775.75422
11,0.778919728,0.735645073,0.723080395,0.697097279,0.785503483,0.720160173,0.733148389,0.688556907,0.763910382,0.769610162,0.700127834,0.715830012,0.740907133,0.731477172,0.522508842,0.359620889,0.385207833,0.405951834,0.381903047,0.403660012,0.384432456,0.351792975,22587.47334,28003.65467
12,0.781006045,0.740087266,0.725683844,0.702978056,0.78792929,0.72042876,0.735313374,0.68996427,0.765704137,0.781066249,0.704400447,0.730105841,0.744985145,0.736105228,0.531391471,0.361854466,0.387546722,0.409992593,0.383586622,0.409369581,0.389552706,0.356651395,22674.215,29061.72579
13,0.783671379,0.74717173,0.730321655,0.711601203,0.791709376,0.728685613,0.741664154,0.699600355,0.766624041,0.784356259,0.706265985,0.735740717,0.748514649,0.7438456,0.537337662,0.37133536,0.389276014,0.413635613,0.386314617,0.412276394,0.392047131,0.359357667,22871.74928,28188.82689
14,0.786085746,0.750365675,0.731972483,0.712335446,0.792449355,0.731632389,0.741313689,0.700523865,0.773336613,0.786017601,0.713257902,0.73481445,0.750829204,0.745680792,0.542146579,0.378240905,0.393770264,0.417539553,0.390624625,0.41466634,0.397254278,0.363077984,23107.03457,28765.37219
